code,Field title
27659,Mean thickness of G-temp-sup-Plan-polar (right hemisphere)
27438,Mean thickness of G-temp-sup-Plan-tempo (left hemisphere)
27660,Mean thickness of G-temp-sup-Plan-tempo (right hemisphere)
27439,Mean thickness of G-temporal-inf (left hemisphere)
27661,Mean thickness of G-temporal-inf (right hemisphere)
27440,Mean thickness of G-temporal-middle (left hemisphere)
27662,Mean thickness of G-temporal-middle (right hemisphere)
27441,Mean thickness of Lat-Fis-ant-Horizont (left hemisphere)
27663,Mean thickness of Lat-Fis-ant-Horizont (right hemisphere)
27442,Mean thickness of Lat-Fis-ant-Vertical (left hemisphere)
27664,Mean thickness of Lat-Fis-ant-Vertical (right hemisphere)
27443,Mean thickness of Lat-Fis-post (left hemisphere)
27665,Mean thickness of Lat-Fis-post (right hemisphere)
27444,Mean thickness of Pole-occipital (left hemisphere)
27666,Mean thickness of Pole-occipital (right hemisphere)
27445,Mean thickness of Pole-temporal (left hemisphere)
27667,Mean thickness of Pole-temporal (right hemisphere)
27446,Mean thickness of S-calcarine (left hemisphere)
27668,Mean thickness of S-calcarine (right hemisphere)
27447,Mean thickness of S-central (left hemisphere)
27669,Mean thickness of S-central (right hemisphere)
27448,Mean thickness of S-cingul-Marginalis (left hemisphere)
27670,Mean thickness of S-cingul-Marginalis (right hemisphere)
27449,Mean thickness of S-circular-insula-ant (left hemisphere)
27671,Mean thickness of S-circular-insula-ant (right hemisphere)
27450,Mean thickness of S-circular-insula-inf (left hemisphere)
27672,Mean thickness of S-circular-insula-inf (right hemisphere)
27451,Mean thickness of S-circular-insula-sup (left hemisphere)
27673,Mean thickness of S-circular-insula-sup (right hemisphere)
27452,Mean thickness of S-collat-transv-ant (left hemisphere)
27674,Mean thickness of S-collat-transv-ant (right hemisphere)
27453,Mean thickness of S-collat-transv-post (left hemisphere)
27675,Mean thickness of S-collat-transv-post (right hemisphere)
27454,Mean thickness of S-front-inf (left hemisphere)
27676,Mean thickness of S-front-inf (right hemisphere)
27455,Mean thickness of S-front-middle (left hemisphere)
